LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
East Akim;Kukurantumi;;Bomponso CHPS;;;;;
East Akim;Kukurantumi;;Bomponso No. 2 CHPS;;;;;
East Akim;Kukurantumi;;Esther Twum Maternity Home;;;;;
East Akim;Kukurantumi;;Kukurantumi Apotosu CHPS;;;;;
East Akim;Kukurantumi;;Kukurantumi CHPS;;;;;
East Akim;Kukurantumi;;Maase CHPS;;;;;
East Akim;Kukurantumi;;Sokode Juaso CHPS;;;;;
East Akim;Kukurantumi;;The Community Hospital Kukurantumi;;;;;
East Akim;Tafo;;Anweabeng CHPS;;;;;
East Akim;Tafo;;Anyinasin CHPS;;;;;
East Akim;Tafo;;Asiedukrom CHPS;;;;;
East Akim;Tafo;;Ati Amanfrom CHPS;;;;;
East Akim;Tafo;;CRIG Clinic;;;;;
East Akim;Tafo;;Mangoase CHPS;;;;;
East Akim;Tafo;;New Tafo Government Hospital;;;;;
East Akim;Tafo;;New Tafo Zongo CHPS;;;;;
East Akim;Tafo;;Nobi CHPS;;;;;
East Akim;Tafo;;Obodanse CHPS;;;;;
East Akim;Tafo;;Old Tafo Ahenbronum CHPS;;;;;
East Akim;Tafo;;Old Tafo CHPS;;;;;
East Akim;Tafo;;Reliance Maternity Home;;;;;
East Akim;Tafo;;Tontro CHPS;;;;;
East Akim;Tafo;;Willie Kings Maternity Home;;;;;
Fanteakwa;Abourso;;Abourso Clinic;;;;;
Fanteakwa;Abourso;;Amotare CHPS Zone;;;;;
Fanteakwa;Abourso;;Bosomtwe Upper CHPS Zone;;;;;
Fanteakwa;Abourso;;Dominase CHPS;;;;;
Fanteakwa;Ahomahomasu;;Ahomahomaso Clinic;;;;;
Fanteakwa;Ahomahomasu;;Akoradako CHPS Zone;;;;;
Fanteakwa;Ahomahomasu;;Otuater CHPS;;;;;
Fanteakwa;Ahomahomasu;;Papramanteng CHPS Zone;;;;;
Fanteakwa;Asirebuso;;Addokrom CHPS;;;;;
Fanteakwa;Asirebuso;;Asarekwao CHPS;;;;;
Fanteakwa;Asirebuso;;Asirebuso CHPS;;;;;
Fanteakwa;Begoro;;Adolescent Unit;;;;;
Fanteakwa;Begoro;;Akwanserem CHPS;;;;;
Fanteakwa;Begoro;;Ayensu CHPS Zone;;;;;
Fanteakwa;Begoro;;Begoro Clinic;;;;;
Fanteakwa;Begoro;;Begoro Hospital;;;;;
Fanteakwa;Begoro;;Begoro Salvation Army Clinic;;;;;
Fanteakwa;Begoro;;Begoro Zongo CHPS Zone;;;;;
Fanteakwa;Begoro;;Koradaso CHPS Zone;;;;;
Fanteakwa;Begoro;;Nkankama CHPS;;;;;
Fanteakwa;Begoro;;Obooho CHPS;;;;;
Fanteakwa;Begoro;;Obuase CHPS Zone;;;;;
