AMAPCODE;AMPA State;AMAP LGA;State;LGA;LGA from Facilities
NIE;EDS;FUG;Edo;Etsako Central;Etsako Central
NIE;EDS;AGD;Edo;Etsako East;Etsako East
NIE;EDS;AUC;Edo;Etsako West;Etsako West
NIE;EDS;GUE;Edo;Iguegben;Igueben
NIE;EDS;DGE;Edo;Ikpoba-Okha;Ikpoba-Okha
NIE;EDS;BEN;Edo;Oredo;Oredo
NIE;EDS;ABD;Edo;Orhionmwon;Orhionmwon
NIE;EDS;AKA;Edo;Ovia North-East;Ovia North-East
NIE;EDS;GBZ;Edo;Ovia South-West;Ovia South-West
NIE;EDS;AFZ;Edo;Owan East;Owan East
NIE;EDS;SGD;Edo;Owan West;Owan West
NIE;EDS;EHR;Edo;Uhunmwonde;Uhunmwonde
NIE;EKS;ADK;Ekiti;Ado-Ekiti;Ado Ekiti
NIE;EKS;EFY;Ekiti;Efon;Efon
NIE;EKS;MUE;Ekiti;Ekiti East;Ekiti East
NIE;EKS;LAW;Ekiti;Ekiti South-West;Ekiti South West
NIE;EKS;AMK;Ekiti;Ekiti West;Ekiti West
NIE;EKS;EMR;Ekiti;Emure;Emure
NIE;EKS;DEA;Ekiti;Gbonyin;Aiyekire (Gbonyin)
NIE;EKS;DEK;Ekiti;Ido-Osi;Ido-Osi
NIE;EKS;JER;Ekiti;Ijero;Ijero
NIE;EKS;KER;Ekiti;Ikere;Ikere
NIE;EKS;KLE;Ekiti;Ikole;Ikole
NIE;EKS;YEK;Ekiti;Ilejemeje;Ilejemeje
NIE;EKS;GED;Ekiti;Irepodun/Ifelodun;Irepodun/Ifelodun
NIE;EKS;SSE;Ekiti;Ise/Orun;Ise/Orun
NIE;EKS;TUN;Ekiti;Moba;Moba
NIE;EKS;YEE;Ekiti;Oye;Oye
NIE;ENS;DBR;Enugu;Aninri;Aninri
NIE;ENS;AWG;Enugu;Awgu;Awgu
NIE;ENS;NKW;Enugu;Enugu East;Enugu East
NIE;ENS;ENU;Enugu;Enugu North;Enugu North
NIE;ENS;UWN;Enugu;Enugu South;Enugu South
NIE;ENS;AGW;Enugu;Ezeagu;Ezeagu
NIE;ENS;GBO;Enugu;Igbo-Etiti;Igbo-Etiti
NIE;ENS;ENZ;Enugu;Igbo-Eze-North;Igbo-Eze North
NIE;ENS;BBG;Enugu;Igbo-Eze-South;Igbo-Eze South
NIE;ENS;KEM;Enugu;Isi-Uzo;Isi-Uzo
NIE;ENS;MGL;Enugu;Nkanu East;Nkanu East
NIE;ENS;AGN;Enugu;Nkanu West;Nkanu West
NIE;ENS;NSK;Enugu;Nsukka;Nsukka
NIE;ENS;JRV;Enugu;Oji-River;Oji River
NIE;ENS;BLF;Enugu;Udenu;Udenu
NIE;ENS;UDD;Enugu;Udi;Udi
NIE;ENS;UMU;Enugu;Uzo-Uwani;Uzo-Uwani
NIE;FCT;ABJ;FCT;Abaji;Abaji
NIE;FCT;BWR;FCT;Bwari;Bwari
NIE;FCT;GWA;FCT;Gwagwalada;Gwagwalada
NIE;FCT;KUJ;FCT;Kuje;Kuje
NIE;FCT;KWL;FCT;Kwali;Kwali
NIE;FCT;ABC;FCT;Municipal Area Council;Abuja Municipal
NIE;GMS;AKK;Gombe;Akko;Akko
NIE;GMS;BLG;Gombe;Balanga;Balanga
NIE;GMS;BLR;Gombe;Billiri;Billiri
NIE;GMS;DKU;Gombe;Dukku;Dukku
NIE;GMS;FKY;Gombe;Funakaye;Funakaye
NIE;GMS;GME;Gombe;Gombe;Gombe
NIE;GMS;KLT;Gombe;Kaltungo;Kaltungo
NIE;GMS;KWM;Gombe;Kwami;Kwami
NIE;GMS;NFD;Gombe;Nafada;Nafada
NIE;GMS;SHM;Gombe;Shomgom;Shongom
NIE;GMS;YDB;Gombe;Yamaltu/Deba;Yamaltu/Deba
NIE;IMS;ABB;Imo;Aboh-Mbaise;Aboh-Mbaise
NIE;IMS;AFR;Imo;Ahiazu-Mbaise;Ahiazu-Mbaise
NIE;IMS;EHM;Imo;Ehime -Mbano;Ehime-Mbano
NIE;IMS;ETU;Imo;Ezinihitte;Ezinihitte-Mbaise
NIE;IMS;URU;Imo;Ideato North;Ideato North
NIE;IMS;DFB;Imo;Ideato South;Ideato South
NIE;IMS;IHI;Imo;Ihitte/Uboma;Ihitte/Uboma
NIE;IMS;KED;Imo;Ikeduru;Ikeduru
NIE;IMS;UML;Imo;Isiala Mbano;Isiala Mbano
NIE;IMS;UMD;Imo;Isu;Isu
NIE;IMS;NWA;Imo;Mbatoli;Mbatoli
NIE;IMS;NGN;Imo;Ngor-Okpala;Ngor-Okpala
NIE;IMS;NSA;Imo;Njaba;Njaba
NIE;IMS;NKR;Imo;Nkwerre;Nkwerre
NIE;IMS;AMG;Imo;Nwangele;Nwangele
NIE;IMS;TTK;Imo;Obowo;Obowo
NIE;IMS;GUA;Imo;Oguta;Oguta
NIE;IMS;EBM;Imo;Ohaji/Egbema;Ohaji/Egbema
NIE;IMS;KGE;Imo;Okigwe;Okigwe
NIE;IMS;RLU;Imo;Orlu;Orlu
NIE;IMS;AWD;Imo;Orsu;Orsu
NIE;IMS;MGD;Imo;Oru East;Oru East
NIE;IMS;NGB;Imo;Oru West;Oru West
NIE;IMS;WER;Imo;Owerri Municipal;Owerri Municipal
NIE;IMS;RRT;Imo;Owerri North;Owerri North
NIE;IMS;UMG;Imo;Owerri West;Owerri West
NIE;IMS;KWE;Imo;Unuimo;Onuimo
NIE;JIS;AUY;Jigawa;Auyo;Auyo
NIE;JIS;BBR;Jigawa;Babura;Babura
NIE;JIS;BNW;Jigawa;Biriniwa;Birnin Kudu
NIE;JIS;BKD;Jigawa;Birnin Kudu;Birniwa
NIE;JIS;BUJ;Jigawa;Buji;Buji
NIE;JIS;DUT;Jigawa;Dutse;Dutse
NIE;JIS;GGW;Jigawa;Gagarawa;Gagarawa
NIE;JIS;GRK;Jigawa;Garki;Garki
NIE;JIS;GML;Jigawa;Gumel;Gumel
NIE;JIS;GRR;Jigawa;Guri;Guri
NIE;JIS;GRM;Jigawa;Gwaram;Gwaram
NIE;JIS;GWW;Jigawa;Gwiwa;Gwiwa
NIE;JIS;HJA;Jigawa;Hadejia;Hadejia
NIE;JIS;JHN;Jigawa;Jahun;Jahun
NIE;JIS;KHS;Jigawa;Kafin Hausa;Kafin Hausa
NIE;JIS;KGM;Jigawa;Kaugama;Kaugama
NIE;JIS;KZR;Jigawa;Kazaure;Kazaure
NIE;JIS;KKM;Jigawa;Kiri Kasama;Kiri Kasamma
NIE;JIS;KYW;Jigawa;kiyawa;Kiyawa
NIE;JIS;MGR;Jigawa;Maigatari;Maigatari
NIE;JIS;MMR;Jigawa;Malam Maduri;Malam Madori
NIE;JIS;MGA;Jigawa;Miga;Miga
NIE;JIS;RNG;Jigawa;Ringim;Ringim
NIE;JIS;RRN;Jigawa;Roni;Roni
NIE;JIS;STK;Jigawa;Sule Tankakar;Sule-Tankarkar
NIE;JIS;TAR;Jigawa;Taura;Taura
