region;district;epidcode;growthrate
Lagos;Kosofe;KSF;3.2
Lagos;Lagos Island;AAA;3.2
Lagos;Lagos Mainland;LND;3.2
Lagos;Mushin;MUS;3.2
Lagos;Ojo;JJJ;3.2
Lagos;Oshodi/Isolo;LSD;3.2
Lagos;Shomolu;SMK;3.2
Lagos;Surulere;LSR;3.2
Nasarawa;Akwanga;AKW;3.0
Nasarawa;Awe;AWE;3.0
Nasarawa;Doma;DMA;3.0
Nasarawa;Karu;KRV;3.0
Nasarawa;Keana;KEN;3.0
Nasarawa;Keffi;KEF;3.0
Nasarawa;Kokona;GRU;3.0
Nasarawa;Lafia;LFA;3.0
Nasarawa;Nasarawa;NSW;3.0
Nasarawa;Nasarawa Eggon;NEG;3.0
Nasarawa;Obi;NBB;3.0
Nasarawa;Toto;NTT;3.0
Nasarawa;Wamba;WAM;3.0
Niger;Agaie;AGA;3.4
Niger;Agwara;AGR;3.4
Niger;Bida;BDA;3.4
Niger;Borgu;NBS;3.4
Niger;Bosso;MAK;3.4
Niger;Chanchaga;MNA;3.4
Niger;Edati;ENG;3.4
Niger;Gbako;LMU;3.4
Niger;Gurara;GWU;3.4
Niger;Katcha;KHA;3.4
Niger;Kontagora;KNT;3.4
Niger;Lapai;LAP;3.4
Niger;Lavun;KUG;3.4
Niger;Magama;NAS;3.4
Niger;Mariga;BMG;3.4
Niger;Mashegu;MSG;3.4
Niger;Mokwa;MKW;3.4
Niger;Muya;SRP;3.4
Niger;Paikoro;PAK;3.4
Niger;Rafi;KAG;3.4
Niger;Rijau;RJA;3.4
Niger;Shiroro;KUT;3.4
Niger;Suleja;SUL;3.4
Niger;Tafa;WSE;3.4
Niger;Wushishi;WSH;3.4
Ogun;Abeokuta North;AKM;3.3
Ogun;Abeokuta South;AAB;3.3
Ogun;Ado Odo/Ota;TTD;3.3
Ogun;Egbado North;AYE;3.3
Ogun;Egbado South;LAR;3.3
Ogun;Ewekoro;TRE;3.3
Ogun;Ifo;FFF;3.3
Ogun;Ijebu East;GBE;3.3
Ogun;Ijebu North;JGB;3.3
Ogun;Ijebu North East;SRA;3.3
Ogun;Ijebu ode;JBD;3.3
Ogun;Ikenne;KNN;3.3
Ogun;Imeko Afon;MEK;3.3
Ogun;Ipokia;PKA;3.3
Ogun;Obafemi-Owode;WDE;3.3
Ogun;Odeda;EDE;3.3
Ogun;Odogbolu;DGB;3.3
Ogun;Ogun Waterside;ABG;3.3
Ogun;Remo North;TTN;3.3
Ogun;Shagamu;SGM;3.3
Ondo;Akoko North East;KAK;3.0
Ondo;Akoko North West;ANG;3.0
Ondo;Akoko South East;KAA;3.0
Ondo;Akoko South West;SUA;3.0
Ondo;Akure North;JTA;3.0
Ondo;Akure South;AKR;3.0
Ondo;Ese Odo;GKB;3.0
Ondo;Idanre;WEN;3.0
Ondo;Ifedore;FGB;3.0
Ondo;Ilaje;GBA;3.0
Ondo;Ile-Oluji-Okeigbo;LEL;3.0
Ondo;Irele;REL;3.0
Ondo;Odigbo;REE;3.0
Ondo;Okitipupa;KTP;3.0
Ondo;Ondo East;BDR;3.0
Ondo;Ondo West;NND;3.0
Ondo;Ose;FFN;3.0
Ondo;Owo;WWW;3.0
Osun;Aiyedaade;GBN;3.2
Osun;Aiyedire;LGB;3.2
Osun;Atakunmosa East;PRN;3.2
Osun;Atakunmosa West;SSU;3.2
Osun;Boluwaduro;TAN;3.2
Osun;Boripe;RGB;3.2
