region;district;community
Vatovavy Fitovinany;Ifanadiana;Ifanadiana
Vatovavy Fitovinany;Ifanadiana;Antaretra
Vatovavy Fitovinany;Ifanadiana;Tsaratanana
Vatovavy Fitovinany;Ifanadiana;Ranomafana
Vatovavy Fitovinany;Ifanadiana;Kelilalina
Vatovavy Fitovinany;Ifanadiana;Androrangavola
Vatovavy Fitovinany;Ifanadiana;Marotoko
Vatovavy Fitovinany;Ifanadiana;Ambohimiera
Vatovavy Fitovinany;Ifanadiana;Antsindra
Vatovavy Fitovinany;Ifanadiana;Ambohimanga Du Sud
Vatovavy Fitovinany;Ifanadiana;Analampasina
Vatovavy Fitovinany;Ifanadiana;Fasintsara
Vatovavy Fitovinany;Ifanadiana;Maroharatra
Vatovavy Fitovinany;Nosy-Varika;Nosy Varika
Vatovavy Fitovinany;Nosy-Varika;Ambahy
Vatovavy Fitovinany;Nosy-Varika;Andara
Vatovavy Fitovinany;Nosy-Varika;Fiadanana
Vatovavy Fitovinany;Nosy-Varika;Ambodirian'i Sahafary
Vatovavy Fitovinany;Nosy-Varika;Sahavato
Vatovavy Fitovinany;Nosy-Varika;Vohilava
Vatovavy Fitovinany;Nosy-Varika;Vohitrandriana
Vatovavy Fitovinany;Nosy-Varika;Vohidroa
Vatovavy Fitovinany;Nosy-Varika;Ambakobe
Vatovavy Fitovinany;Nosy-Varika;Soavina
Vatovavy Fitovinany;Nosy-Varika;Ambodilafa
Vatovavy Fitovinany;Nosy-Varika;Androrangavola
Vatovavy Fitovinany;Nosy-Varika;Ampasinambo
Vatovavy Fitovinany;Nosy-Varika;Antanambao
Vatovavy Fitovinany;Nosy-Varika;Angodongodona
Vatovavy Fitovinany;Nosy-Varika;Befody
Vatovavy Fitovinany;Nosy-Varika;Ambodiara
Haute Matsiatra;Ambohimahasoa;Ambohimahasoa
Haute Matsiatra;Ambohimahasoa;Ampitana
Haute Matsiatra;Ambohimahasoa;Ankerana
Haute Matsiatra;Ambohimahasoa;Manandroy
Haute Matsiatra;Ambohimahasoa;Ambalakindresy
Haute Matsiatra;Ambohimahasoa;Ankafina Tsarafidy
Haute Matsiatra;Ambohimahasoa;Sahave
Haute Matsiatra;Ambohimahasoa;Morafeno
Haute Matsiatra;Ambohimahasoa;Ikalalao
Haute Matsiatra;Ambohimahasoa;Vohiposa
Haute Matsiatra;Ambohimahasoa;Ambatosoa
Haute Matsiatra;Ambohimahasoa;Isaka
Haute Matsiatra;Ambohimahasoa;Vohitrarivo
Haute Matsiatra;Ambohimahasoa;Ambohinamboarina
Haute Matsiatra;Ambohimahasoa;Sahatona
Haute Matsiatra;Ambohimahasoa;Camp Robin
Haute Matsiatra;Ambohimahasoa;Befeta
Haute Matsiatra;Ambohimahasoa;Fiadanana
Vatovavy Fitovinany;Mananjary;Mananjary
Vatovavy Fitovinany;Mananjary;Tsaravary
Vatovavy Fitovinany;Mananjary;Ankatafana
Vatovavy Fitovinany;Mananjary;Mahatsara Sud
Vatovavy Fitovinany;Mananjary;Tsiatosika
Vatovavy Fitovinany;Mananjary;Mahatsara Iefaka
Vatovavy Fitovinany;Mananjary;Marokarima
Vatovavy Fitovinany;Mananjary;Morafeno
Vatovavy Fitovinany;Mananjary;Antsenavolo
Vatovavy Fitovinany;Mananjary;Marosangy
Vatovavy Fitovinany;Mananjary;Ambohimiarina II
Vatovavy Fitovinany;Mananjary;Andranambolava
Vatovavy Fitovinany;Mananjary;Vohilava
Vatovavy Fitovinany;Mananjary;Mahela
Vatovavy Fitovinany;Mananjary;Ambohitsara Est
Vatovavy Fitovinany;Mananjary;Mahavoky Nord
Vatovavy Fitovinany;Mananjary;Andonabe
Vatovavy Fitovinany;Mananjary;Ambohinihaonana
Vatovavy Fitovinany;Mananjary;Marofototra
Vatovavy Fitovinany;Mananjary;Andranomavo
Vatovavy Fitovinany;Mananjary;Vatohandrina
Vatovavy Fitovinany;Mananjary;Ambalahosy Nord
Vatovavy Fitovinany;Mananjary;Ambodinonoka
Vatovavy Fitovinany;Mananjary;Antaretra
Vatovavy Fitovinany;Mananjary;Kianjavato
Vatovavy Fitovinany;Mananjary;Sandrohy
Vatovavy Fitovinany;Mananjary;Anosimparihy
Vatovavy Fitovinany;Mananjary;Manakana Nord
Vatovavy Fitovinany;Mananjary;Namorona
Vatovavy Fitovinany;Manakara Atsimo;Manakara
Vatovavy Fitovinany;Manakara Atsimo;Tataho
Vatovavy Fitovinany;Manakara Atsimo;Mangatsiotra
Vatovavy Fitovinany;Manakara Atsimo;Marofarihy
Vatovavy Fitovinany;Manakara Atsimo;Anosiala
Vatovavy Fitovinany;Manakara Atsimo;Ambila
Vatovavy Fitovinany;Manakara Atsimo;Sorombo
Vatovavy Fitovinany;Manakara Atsimo;Mizilo Gara
Vatovavy Fitovinany;Manakara Atsimo;Ambohitsara M
Vatovavy Fitovinany;Manakara Atsimo;Sahasinaka
Vatovavy Fitovinany;Manakara Atsimo;Sahanambohitra
Vatovavy Fitovinany;Manakara Atsimo;Ambahatrazo
Vatovavy Fitovinany;Manakara Atsimo;Amboanjo
Vatovavy Fitovinany;Manakara Atsimo;Anorombato
Vatovavy Fitovinany;Manakara Atsimo;Vohimasy
Vatovavy Fitovinany;Manakara Atsimo;Lokomby
Vatovavy Fitovinany;Manakara Atsimo;Vatana
Vatovavy Fitovinany;Manakara Atsimo;Sakoana
Vatovavy Fitovinany;Manakara Atsimo;Ambahive
Vatovavy Fitovinany;Manakara Atsimo;Ambandrika
Vatovavy Fitovinany;Manakara Atsimo;Ambalaroka
Vatovavy Fitovinany;Manakara Atsimo;Vohimanitra
Vatovavy Fitovinany;Manakara Atsimo;Mitanty
Vatovavy Fitovinany;Manakara Atsimo;Analavory
Vatovavy Fitovinany;Manakara Atsimo;Bekatra
Vatovavy Fitovinany;Manakara Atsimo;Vinanitelo
Vatovavy Fitovinany;Manakara Atsimo;Ampasimanjeva
Vatovavy Fitovinany;Manakara Atsimo;Ambotaka
Vatovavy Fitovinany;Manakara Atsimo;Nihaonana
Vatovavy Fitovinany;Manakara Atsimo;Mavorano
Vatovavy Fitovinany;Manakara Atsimo;Vohimasina Nord
Vatovavy Fitovinany;Manakara Atsimo;Vohimasina Sud
Vatovavy Fitovinany;Manakara Atsimo;Betampona
Vatovavy Fitovinany;Manakara Atsimo;Vohilava
Vatovavy Fitovinany;Manakara Atsimo;Fenomby
Vatovavy Fitovinany;Manakara Atsimo;Ambalavero
Vatovavy Fitovinany;Manakara Atsimo;Amborondra
Vatovavy Fitovinany;Manakara Atsimo;Mahabako
Vatovavy Fitovinany;Manakara Atsimo;Onilahy
Vatovavy Fitovinany;Manakara Atsimo;Mahamaibe
Vatovavy Fitovinany;Manakara Atsimo;Kianjanomby
Vatovavy Fitovinany;Manakara Atsimo;Ampasimpotsy Sud
